score	n	ineditismo	poder	familias	datasets_sugeridos
1.000	3	1.00	5522	credito_financeiro+mobilidade+saneamento_agua	br_bcb_sicor, br_mobilidados_indicadores, br_ana_outorgas
1.000	3	1.00	5522	credito_financeiro+politica+saneamento_agua	br_bcb_sicor, br_tse_eleicoes, br_ana_outorgas
1.000	4	1.00	5522	credito_financeiro+mobilidade+politica+saneamento_agua	br_bcb_sicor, br_mobilidados_indicadores, br_tse_eleicoes, br_ana_outorgas
1.000	2	1.00	5487	agropecuaria+vigilancia_sinan	br_ibge_ppm, br_ms_sinan_violencia
1.000	2	1.00	5487	fiscal_municipal+vigilancia_sinan	br_rf_arrecadacao, br_ms_sinan_violencia
1.000	2	1.00	5487	fundiario+vigilancia_sinan	br_sfb_sicar, br_ms_sinan_violencia
1.000	2	1.00	5487	mobilidade+vigilancia_sinan	br_mobilidados_indicadores, br_ms_sinan_violencia
1.000	2	1.00	5487	politica+vigilancia_sinan	br_tse_eleicoes, br_ms_sinan_violencia
1.000	3	1.00	5487	agropecuaria+mobilidade+vigilancia_sinan	br_ibge_ppm, br_mobilidados_indicadores, br_ms_sinan_violencia
1.000	3	1.00	5487	agropecuaria+politica+vigilancia_sinan	br_ibge_ppm, br_tse_eleicoes, br_ms_sinan_violencia
1.000	3	1.00	5487	fiscal_municipal+fundiario+vigilancia_sinan	br_rf_arrecadacao, br_sfb_sicar, br_ms_sinan_violencia
1.000	3	1.00	5487	fiscal_municipal+mobilidade+vigilancia_sinan	br_rf_arrecadacao, br_mobilidados_indicadores, br_ms_sinan_violencia
1.000	3	1.00	5487	fundiario+mobilidade+vigilancia_sinan	br_sfb_sicar, br_mobilidados_indicadores, br_ms_sinan_violencia
1.000	3	1.00	5487	fundiario+politica+vigilancia_sinan	br_sfb_sicar, br_tse_eleicoes, br_ms_sinan_violencia
1.000	3	1.00	5487	mobilidade+politica+vigilancia_sinan	br_mobilidados_indicadores, br_tse_eleicoes, br_ms_sinan_violencia
1.000	4	1.00	5487	agropecuaria+mobilidade+politica+vigilancia_sinan	br_ibge_ppm, br_mobilidados_indicadores, br_tse_eleicoes, br_ms_sinan_violencia
1.000	4	1.00	5487	fiscal_municipal+fundiario+mobilidade+vigilancia_sinan	br_rf_arrecadacao, br_sfb_sicar, br_mobilidados_indicadores, br_ms_sinan_violencia
1.000	4	1.00	5487	fundiario+mobilidade+politica+vigilancia_sinan	br_sfb_sicar, br_mobilidados_indicadores, br_tse_eleicoes, br_ms_sinan_violencia
1.000	2	1.00	5475	educacao+fiscalizacao_ambiental	br_inep_saeb, br_ibama_autos
1.000	2	1.00	5475	fiscal_municipal+fiscalizacao_ambiental	br_rf_arrecadacao, br_ibama_autos
1.000	2	1.00	5475	fiscalizacao_ambiental+mobilidade	br_ibama_autos, br_mobilidados_indicadores
1.000	2	1.00	5475	fiscalizacao_ambiental+mortalidade	br_ibama_autos, br_ms_sim
1.000	2	1.00	5475	fiscalizacao_ambiental+saneamento_agua	br_ibama_autos, br_ana_outorgas
1.000	2	1.00	5475	fiscalizacao_ambiental+vigilancia_sinan	br_ibama_autos, br_ms_sinan_violencia
1.000	3	1.00	5475	educacao+fiscalizacao_ambiental+mobilidade	br_inep_saeb, br_ibama_autos, br_mobilidados_indicadores
1.000	3	1.00	5475	educacao+fiscalizacao_ambiental+saneamento_agua	br_inep_saeb, br_ibama_autos, br_ana_outorgas
1.000	3	1.00	5475	fiscal_municipal+fiscalizacao_ambiental+mobilidade	br_rf_arrecadacao, br_ibama_autos, br_mobilidados_indicadores
1.000	3	1.00	5475	fiscal_municipal+fiscalizacao_ambiental+vigilancia_sinan	br_rf_arrecadacao, br_ibama_autos, br_ms_sinan_violencia
1.000	3	1.00	5475	fiscalizacao_ambiental+mobilidade+saneamento_agua	br_ibama_autos, br_mobilidados_indicadores, br_ana_outorgas
1.000	3	1.00	5475	fiscalizacao_ambiental+mobilidade+vigilancia_sinan	br_ibama_autos, br_mobilidados_indicadores, br_ms_sinan_violencia
1.000	4	1.00	5475	educacao+fiscalizacao_ambiental+mobilidade+saneamento_agua	br_inep_saeb, br_ibama_autos, br_mobilidados_indicadores, br_ana_outorgas
1.000	4	1.00	5475	fiscal_municipal+fiscalizacao_ambiental+mobilidade+vigilancia_sinan	br_rf_arrecadacao, br_ibama_autos, br_mobilidados_indicadores, br_ms_sinan_violencia
1.000	2	1.00	5419	agropecuaria+compras_publicas	br_ibge_ppm, br_cgu_emendas_parlamentares
1.000	2	1.00	5419	compras_publicas+mobilidade	br_cgu_emendas_parlamentares, br_mobilidados_indicadores
1.000	2	1.00	5419	compras_publicas+vigilancia_sinan	br_cgu_emendas_parlamentares, br_ms_sinan_violencia
1.000	3	1.00	5419	agropecuaria+compras_publicas+mobilidade	br_ibge_ppm, br_cgu_emendas_parlamentares, br_mobilidados_indicadores
1.000	3	1.00	5419	agropecuaria+compras_publicas+vigilancia_sinan	br_ibge_ppm, br_cgu_emendas_parlamentares, br_ms_sinan_violencia
1.000	3	1.00	5419	compras_publicas+mobilidade+vigilancia_sinan	br_cgu_emendas_parlamentares, br_mobilidados_indicadores, br_ms_sinan_violencia
1.000	4	1.00	5419	agropecuaria+compras_publicas+mobilidade+vigilancia_sinan	br_ibge_ppm, br_cgu_emendas_parlamentares, br_mobilidados_indicadores, br_ms_sinan_violencia
0.938	2	1.00	4691	agropecuaria+natalidade	br_ibge_ppm, br_ms_sinasc
0.938	2	1.00	4691	conectividade+natalidade	br_anatel_banda_larga_fixa, br_ms_sinasc
0.938	2	1.00	4691	credito_financeiro+natalidade	br_bcb_sicor, br_ms_sinasc
0.938	2	1.00	4691	desmatamento_clima+natalidade	br_inpe_sisam, br_ms_sinasc
0.938	2	1.00	4691	fiscalizacao_ambiental+natalidade	br_ibama_autos, br_ms_sinasc
0.938	2	1.00	4691	fundiario+natalidade	br_sfb_sicar, br_ms_sinasc
0.938	2	1.00	4691	mobilidade+natalidade	br_mobilidados_indicadores, br_ms_sinasc
0.938	3	1.00	4691	agropecuaria+conectividade+natalidade	br_ibge_ppm, br_anatel_banda_larga_fixa, br_ms_sinasc
0.938	3	1.00	4691	agropecuaria+mobilidade+natalidade	br_ibge_ppm, br_mobilidados_indicadores, br_ms_sinasc
0.938	3	1.00	4691	conectividade+fundiario+natalidade	br_anatel_banda_larga_fixa, br_sfb_sicar, br_ms_sinasc
0.938	3	1.00	4691	conectividade+mobilidade+natalidade	br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_ms_sinasc
0.938	3	1.00	4691	credito_financeiro+mobilidade+natalidade	br_bcb_sicor, br_mobilidados_indicadores, br_ms_sinasc
0.938	3	1.00	4691	desmatamento_clima+mobilidade+natalidade	br_inpe_sisam, br_mobilidados_indicadores, br_ms_sinasc
0.938	3	1.00	4691	fiscalizacao_ambiental+mobilidade+natalidade	br_ibama_autos, br_mobilidados_indicadores, br_ms_sinasc
0.938	3	1.00	4691	fundiario+mobilidade+natalidade	br_sfb_sicar, br_mobilidados_indicadores, br_ms_sinasc
0.938	4	1.00	4691	agropecuaria+conectividade+mobilidade+natalidade	br_ibge_ppm, br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_ms_sinasc
0.938	4	1.00	4691	conectividade+fundiario+mobilidade+natalidade	br_anatel_banda_larga_fixa, br_sfb_sicar, br_mobilidados_indicadores, br_ms_sinasc
0.833	4	0.83	5559	educacao+fundiario+politica+saneamento_agua	br_inep_saeb, br_sfb_sicar, br_tse_eleicoes, br_ana_outorgas
0.833	4	0.83	5559	educacao+fundiario+saneamento_agua+transferencia_renda	br_inep_saeb, br_sfb_sicar, br_ana_outorgas, br_mc_indicadores
0.833	4	0.83	5559	fundiario+politica+saneamento_agua+transferencia_renda	br_sfb_sicar, br_tse_eleicoes, br_ana_outorgas, br_mc_indicadores
0.833	4	0.83	5544	agropecuaria+conectividade+educacao+mobilidade	br_ibge_ppm, br_anatel_banda_larga_fixa, br_inep_saeb, br_mobilidados_indicadores
0.833	4	0.83	5544	agropecuaria+conectividade+fundiario+mobilidade	br_ibge_ppm, br_anatel_banda_larga_fixa, br_sfb_sicar, br_mobilidados_indicadores
0.833	4	0.83	5544	agropecuaria+conectividade+mobilidade+politica	br_ibge_ppm, br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5544	agropecuaria+conectividade+mobilidade+saude_producao	br_ibge_ppm, br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_ms_cnes
0.833	4	0.83	5544	agropecuaria+desmatamento_clima+educacao+mobilidade	br_ibge_ppm, br_inpe_sisam, br_inep_saeb, br_mobilidados_indicadores
0.833	4	0.83	5544	agropecuaria+desmatamento_clima+mobilidade+politica	br_ibge_ppm, br_inpe_sisam, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5544	agropecuaria+educacao+fundiario+mobilidade	br_ibge_ppm, br_inep_saeb, br_sfb_sicar, br_mobilidados_indicadores
0.833	4	0.83	5544	agropecuaria+educacao+mobilidade+politica	br_ibge_ppm, br_inep_saeb, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5544	agropecuaria+educacao+mobilidade+saneamento_agua	br_ibge_ppm, br_inep_saeb, br_mobilidados_indicadores, br_ana_outorgas
0.833	4	0.83	5544	agropecuaria+educacao+mobilidade+saude_producao	br_ibge_ppm, br_inep_saeb, br_mobilidados_indicadores, br_ms_cnes
0.833	4	0.83	5544	agropecuaria+fundiario+mobilidade+politica	br_ibge_ppm, br_sfb_sicar, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5544	agropecuaria+mobilidade+politica+saneamento_agua	br_ibge_ppm, br_mobilidados_indicadores, br_tse_eleicoes, br_ana_outorgas
0.833	4	0.83	5544	agropecuaria+mobilidade+politica+saude_producao	br_ibge_ppm, br_mobilidados_indicadores, br_tse_eleicoes, br_ms_cnes
0.833	4	0.83	5544	conectividade+educacao+fundiario+mobilidade	br_anatel_banda_larga_fixa, br_inep_saeb, br_sfb_sicar, br_mobilidados_indicadores
0.833	4	0.83	5544	conectividade+fiscal_municipal+fundiario+mobilidade	br_anatel_banda_larga_fixa, br_rf_arrecadacao, br_sfb_sicar, br_mobilidados_indicadores
0.833	4	0.83	5544	conectividade+fundiario+mobilidade+politica	br_anatel_banda_larga_fixa, br_sfb_sicar, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5544	conectividade+fundiario+mobilidade+saneamento_agua	br_anatel_banda_larga_fixa, br_sfb_sicar, br_mobilidados_indicadores, br_ana_outorgas
0.833	4	0.83	5544	conectividade+fundiario+mobilidade+transferencia_renda	br_anatel_banda_larga_fixa, br_sfb_sicar, br_mobilidados_indicadores, br_mc_indicadores
0.833	4	0.83	5544	desmatamento_clima+educacao+fiscal_municipal+mobilidade	br_inpe_sisam, br_inep_saeb, br_rf_arrecadacao, br_mobilidados_indicadores
0.833	4	0.83	5544	desmatamento_clima+educacao+fundiario+mobilidade	br_inpe_sisam, br_inep_saeb, br_sfb_sicar, br_mobilidados_indicadores
0.833	4	0.83	5544	desmatamento_clima+educacao+mobilidade+politica	br_inpe_sisam, br_inep_saeb, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5544	desmatamento_clima+educacao+mobilidade+saneamento_agua	br_inpe_sisam, br_inep_saeb, br_mobilidados_indicadores, br_ana_outorgas
0.833	4	0.83	5544	desmatamento_clima+educacao+mobilidade+transferencia_renda	br_inpe_sisam, br_inep_saeb, br_mobilidados_indicadores, br_mc_indicadores
