score	n	ineditismo	poder	familias	datasets_sugeridos
0.500	4	0.50	5475	credito_financeiro+fiscalizacao_ambiental+mortalidade+vigilancia_sinan	br_bcb_sicor, br_ibama_autos, br_ms_sim, br_ms_sinan_violencia
0.500	4	0.50	5475	credito_financeiro+fiscalizacao_ambiental+politica+vigilancia_sinan	br_bcb_sicor, br_ibama_autos, br_tse_eleicoes, br_ms_sinan_violencia
0.500	4	0.50	5475	credito_financeiro+fiscalizacao_ambiental+saneamento_agua+transferencia_renda	br_bcb_sicor, br_ibama_autos, br_ana_outorgas, br_mc_indicadores
0.500	4	0.50	5475	credito_financeiro+fiscalizacao_ambiental+saneamento_agua+vigilancia_sinan	br_bcb_sicor, br_ibama_autos, br_ana_outorgas, br_ms_sinan_violencia
0.500	4	0.50	5475	demografia_censo+educacao+fiscalizacao_ambiental+mobilidade	br_ibge_censo2022_raca, br_inep_saeb, br_ibama_autos, br_mobilidados_indicadores
0.500	4	0.50	5475	demografia_censo+educacao+fiscalizacao_ambiental+saneamento_agua	br_ibge_censo2022_raca, br_inep_saeb, br_ibama_autos, br_ana_outorgas
0.500	4	0.50	5475	demografia_censo+fiscal_municipal+fiscalizacao_ambiental+mobilidade	br_ibge_censo2022_raca, br_rf_arrecadacao, br_ibama_autos, br_mobilidados_indicadores
0.500	4	0.50	5475	demografia_censo+fiscal_municipal+fiscalizacao_ambiental+vigilancia_sinan	br_ibge_censo2022_raca, br_rf_arrecadacao, br_ibama_autos, br_ms_sinan_violencia
0.500	4	0.50	5475	demografia_censo+fiscalizacao_ambiental+mobilidade+saneamento_agua	br_ibge_censo2022_raca, br_ibama_autos, br_mobilidados_indicadores, br_ana_outorgas
0.500	4	0.50	5475	demografia_censo+fiscalizacao_ambiental+mobilidade+vigilancia_sinan	br_ibge_censo2022_raca, br_ibama_autos, br_mobilidados_indicadores, br_ms_sinan_violencia
0.500	4	0.50	5475	desmatamento_clima+educacao+fiscalizacao_ambiental+fundiario	br_inpe_sisam, br_inep_saeb, br_ibama_autos, br_sfb_sicar
0.500	4	0.50	5475	desmatamento_clima+educacao+fiscalizacao_ambiental+mortalidade	br_inpe_sisam, br_inep_saeb, br_ibama_autos, br_ms_sim
0.500	4	0.50	5475	desmatamento_clima+educacao+fiscalizacao_ambiental+politica	br_inpe_sisam, br_inep_saeb, br_ibama_autos, br_tse_eleicoes
0.500	4	0.50	5475	desmatamento_clima+educacao+fiscalizacao_ambiental+transferencia_renda	br_inpe_sisam, br_inep_saeb, br_ibama_autos, br_mc_indicadores
0.500	4	0.50	5475	desmatamento_clima+educacao+fiscalizacao_ambiental+vigilancia_sinan	br_inpe_sisam, br_inep_saeb, br_ibama_autos, br_ms_sinan_violencia
0.500	4	0.50	5475	desmatamento_clima+fiscal_municipal+fiscalizacao_ambiental+fundiario	br_inpe_sisam, br_rf_arrecadacao, br_ibama_autos, br_sfb_sicar
0.500	4	0.50	5475	desmatamento_clima+fiscal_municipal+fiscalizacao_ambiental+mortalidade	br_inpe_sisam, br_rf_arrecadacao, br_ibama_autos, br_ms_sim
0.500	4	0.50	5475	desmatamento_clima+fiscal_municipal+fiscalizacao_ambiental+politica	br_inpe_sisam, br_rf_arrecadacao, br_ibama_autos, br_tse_eleicoes
0.500	4	0.50	5475	desmatamento_clima+fiscal_municipal+fiscalizacao_ambiental+saneamento_agua	br_inpe_sisam, br_rf_arrecadacao, br_ibama_autos, br_ana_outorgas
0.500	4	0.50	5475	desmatamento_clima+fiscal_municipal+fiscalizacao_ambiental+transferencia_renda	br_inpe_sisam, br_rf_arrecadacao, br_ibama_autos, br_mc_indicadores
0.500	4	0.50	5475	desmatamento_clima+fiscalizacao_ambiental+fundiario+mobilidade	br_inpe_sisam, br_ibama_autos, br_sfb_sicar, br_mobilidados_indicadores
0.500	4	0.50	5475	desmatamento_clima+fiscalizacao_ambiental+mobilidade+mortalidade	br_inpe_sisam, br_ibama_autos, br_mobilidados_indicadores, br_ms_sim
0.500	4	0.50	5475	desmatamento_clima+fiscalizacao_ambiental+mobilidade+saude_producao	br_inpe_sisam, br_ibama_autos, br_mobilidados_indicadores, br_ms_cnes
0.500	4	0.50	5475	desmatamento_clima+fiscalizacao_ambiental+politica+saneamento_agua	br_inpe_sisam, br_ibama_autos, br_tse_eleicoes, br_ana_outorgas
0.500	4	0.50	5475	desmatamento_clima+fiscalizacao_ambiental+politica+vigilancia_sinan	br_inpe_sisam, br_ibama_autos, br_tse_eleicoes, br_ms_sinan_violencia
0.500	4	0.50	5475	desmatamento_clima+fiscalizacao_ambiental+saneamento_agua+transferencia_renda	br_inpe_sisam, br_ibama_autos, br_ana_outorgas, br_mc_indicadores
0.500	4	0.50	5475	educacao+fiscal_municipal+fiscalizacao_ambiental+mortalidade	br_inep_saeb, br_rf_arrecadacao, br_ibama_autos, br_ms_sim
0.500	4	0.50	5475	educacao+fiscalizacao_ambiental+fundiario+politica	br_inep_saeb, br_ibama_autos, br_sfb_sicar, br_tse_eleicoes
0.500	4	0.50	5475	educacao+fiscalizacao_ambiental+fundiario+transferencia_renda	br_inep_saeb, br_ibama_autos, br_sfb_sicar, br_mc_indicadores
0.500	4	0.50	5475	educacao+fiscalizacao_ambiental+mobilidade+trabalho_empresa	br_inep_saeb, br_ibama_autos, br_mobilidados_indicadores, br_me_cnpj
0.500	4	0.50	5475	educacao+fiscalizacao_ambiental+mortalidade+vigilancia_sinan	br_inep_saeb, br_ibama_autos, br_ms_sim, br_ms_sinan_violencia
0.500	4	0.50	5475	educacao+fiscalizacao_ambiental+politica+vigilancia_sinan	br_inep_saeb, br_ibama_autos, br_tse_eleicoes, br_ms_sinan_violencia
0.500	4	0.50	5475	educacao+fiscalizacao_ambiental+saneamento_agua+saude_producao	br_inep_saeb, br_ibama_autos, br_ana_outorgas, br_ms_cnes
0.500	4	0.50	5475	educacao+fiscalizacao_ambiental+saneamento_agua+trabalho_empresa	br_inep_saeb, br_ibama_autos, br_ana_outorgas, br_me_cnpj
0.500	4	0.50	5475	fiscal_municipal+fiscalizacao_ambiental+fundiario+politica	br_rf_arrecadacao, br_ibama_autos, br_sfb_sicar, br_tse_eleicoes
0.500	4	0.50	5475	fiscal_municipal+fiscalizacao_ambiental+fundiario+transferencia_renda	br_rf_arrecadacao, br_ibama_autos, br_sfb_sicar, br_mc_indicadores
0.500	4	0.50	5475	fiscal_municipal+fiscalizacao_ambiental+mobilidade+trabalho_empresa	br_rf_arrecadacao, br_ibama_autos, br_mobilidados_indicadores, br_me_cnpj
0.500	4	0.50	5475	fiscal_municipal+fiscalizacao_ambiental+mortalidade+saneamento_agua	br_rf_arrecadacao, br_ibama_autos, br_ms_sim, br_ana_outorgas
0.500	4	0.50	5475	fiscal_municipal+fiscalizacao_ambiental+politica+saneamento_agua	br_rf_arrecadacao, br_ibama_autos, br_tse_eleicoes, br_ana_outorgas
0.500	4	0.50	5475	fiscal_municipal+fiscalizacao_ambiental+saneamento_agua+transferencia_renda	br_rf_arrecadacao, br_ibama_autos, br_ana_outorgas, br_mc_indicadores
0.500	4	0.50	5475	fiscal_municipal+fiscalizacao_ambiental+saude_producao+vigilancia_sinan	br_rf_arrecadacao, br_ibama_autos, br_ms_cnes, br_ms_sinan_violencia
0.500	4	0.50	5475	fiscal_municipal+fiscalizacao_ambiental+trabalho_empresa+vigilancia_sinan	br_rf_arrecadacao, br_ibama_autos, br_me_cnpj, br_ms_sinan_violencia
0.500	4	0.50	5475	fiscal_municipal+fiscalizacao_ambiental+transferencia_renda+vigilancia_sinan	br_rf_arrecadacao, br_ibama_autos, br_mc_indicadores, br_ms_sinan_violencia
0.500	4	0.50	5475	fiscalizacao_ambiental+fundiario+mobilidade+saude_producao	br_ibama_autos, br_sfb_sicar, br_mobilidados_indicadores, br_ms_cnes
0.500	4	0.50	5475	fiscalizacao_ambiental+fundiario+mortalidade+politica	br_ibama_autos, br_sfb_sicar, br_ms_sim, br_tse_eleicoes
0.500	4	0.50	5475	fiscalizacao_ambiental+fundiario+mortalidade+transferencia_renda	br_ibama_autos, br_sfb_sicar, br_ms_sim, br_mc_indicadores
0.500	4	0.50	5475	fiscalizacao_ambiental+fundiario+transferencia_renda+vigilancia_sinan	br_ibama_autos, br_sfb_sicar, br_mc_indicadores, br_ms_sinan_violencia
0.500	4	0.50	5475	fiscalizacao_ambiental+mobilidade+mortalidade+politica	br_ibama_autos, br_mobilidados_indicadores, br_ms_sim, br_tse_eleicoes
0.500	4	0.50	5475	fiscalizacao_ambiental+mobilidade+mortalidade+saude_producao	br_ibama_autos, br_mobilidados_indicadores, br_ms_sim, br_ms_cnes
0.500	4	0.50	5475	fiscalizacao_ambiental+mobilidade+mortalidade+transferencia_renda	br_ibama_autos, br_mobilidados_indicadores, br_ms_sim, br_mc_indicadores
0.500	4	0.50	5475	fiscalizacao_ambiental+mobilidade+politica+saude_producao	br_ibama_autos, br_mobilidados_indicadores, br_tse_eleicoes, br_ms_cnes
0.500	4	0.50	5475	fiscalizacao_ambiental+mobilidade+politica+transferencia_renda	br_ibama_autos, br_mobilidados_indicadores, br_tse_eleicoes, br_mc_indicadores
0.500	4	0.50	5475	fiscalizacao_ambiental+mobilidade+saneamento_agua+trabalho_empresa	br_ibama_autos, br_mobilidados_indicadores, br_ana_outorgas, br_me_cnpj
0.500	4	0.50	5475	fiscalizacao_ambiental+mobilidade+saude_producao+transferencia_renda	br_ibama_autos, br_mobilidados_indicadores, br_ms_cnes, br_mc_indicadores
0.500	4	0.50	5475	fiscalizacao_ambiental+mobilidade+trabalho_empresa+vigilancia_sinan	br_ibama_autos, br_mobilidados_indicadores, br_me_cnpj, br_ms_sinan_violencia
0.500	4	0.50	5475	fiscalizacao_ambiental+mortalidade+politica+saneamento_agua	br_ibama_autos, br_ms_sim, br_tse_eleicoes, br_ana_outorgas
0.500	4	0.50	5475	fiscalizacao_ambiental+mortalidade+politica+vigilancia_sinan	br_ibama_autos, br_ms_sim, br_tse_eleicoes, br_ms_sinan_violencia
0.500	4	0.50	5475	fiscalizacao_ambiental+mortalidade+saneamento_agua+transferencia_renda	br_ibama_autos, br_ms_sim, br_ana_outorgas, br_mc_indicadores
0.500	4	0.50	5475	fiscalizacao_ambiental+mortalidade+saneamento_agua+vigilancia_sinan	br_ibama_autos, br_ms_sim, br_ana_outorgas, br_ms_sinan_violencia
0.500	4	0.50	5475	fiscalizacao_ambiental+politica+saneamento_agua+transferencia_renda	br_ibama_autos, br_tse_eleicoes, br_ana_outorgas, br_mc_indicadores
0.500	4	0.50	5475	fiscalizacao_ambiental+saneamento_agua+transferencia_renda+vigilancia_sinan	br_ibama_autos, br_ana_outorgas, br_mc_indicadores, br_ms_sinan_violencia
0.500	4	0.50	5419	agropecuaria+compras_publicas+conectividade+demografia_censo	br_ibge_ppm, br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_ibge_censo2022_raca
0.500	4	0.50	5419	agropecuaria+compras_publicas+conectividade+educacao	br_ibge_ppm, br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_inep_saeb
0.500	4	0.50	5419	agropecuaria+compras_publicas+conectividade+fundiario	br_ibge_ppm, br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_sfb_sicar
0.500	4	0.50	5419	agropecuaria+compras_publicas+conectividade+politica	br_ibge_ppm, br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_tse_eleicoes
0.500	4	0.50	5419	agropecuaria+compras_publicas+conectividade+saude_producao	br_ibge_ppm, br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_ms_cnes
0.500	4	0.50	5419	agropecuaria+compras_publicas+credito_financeiro+politica	br_ibge_ppm, br_cgu_emendas_parlamentares, br_bcb_sicor, br_tse_eleicoes
0.500	4	0.50	5419	agropecuaria+compras_publicas+credito_financeiro+vigilancia_sinan	br_ibge_ppm, br_cgu_emendas_parlamentares, br_bcb_sicor, br_ms_sinan_violencia
0.500	4	0.50	5419	agropecuaria+compras_publicas+demografia_censo+educacao	br_ibge_ppm, br_cgu_emendas_parlamentares, br_ibge_censo2022_raca, br_inep_saeb
0.500	4	0.50	5419	agropecuaria+compras_publicas+demografia_censo+politica	br_ibge_ppm, br_cgu_emendas_parlamentares, br_ibge_censo2022_raca, br_tse_eleicoes
0.500	4	0.50	5419	agropecuaria+compras_publicas+demografia_censo+saude_producao	br_ibge_ppm, br_cgu_emendas_parlamentares, br_ibge_censo2022_raca, br_ms_cnes
0.500	4	0.50	5419	agropecuaria+compras_publicas+desmatamento_clima+educacao	br_ibge_ppm, br_cgu_emendas_parlamentares, br_inpe_sisam, br_inep_saeb
0.500	4	0.50	5419	agropecuaria+compras_publicas+desmatamento_clima+politica	br_ibge_ppm, br_cgu_emendas_parlamentares, br_inpe_sisam, br_tse_eleicoes
0.500	4	0.50	5419	agropecuaria+compras_publicas+desmatamento_clima+vigilancia_sinan	br_ibge_ppm, br_cgu_emendas_parlamentares, br_inpe_sisam, br_ms_sinan_violencia
0.500	4	0.50	5419	agropecuaria+compras_publicas+educacao+fiscalizacao_ambiental	br_ibge_ppm, br_cgu_emendas_parlamentares, br_inep_saeb, br_ibama_autos
0.500	4	0.50	5419	agropecuaria+compras_publicas+educacao+fundiario	br_ibge_ppm, br_cgu_emendas_parlamentares, br_inep_saeb, br_sfb_sicar
0.500	4	0.50	5419	agropecuaria+compras_publicas+educacao+politica	br_ibge_ppm, br_cgu_emendas_parlamentares, br_inep_saeb, br_tse_eleicoes
0.500	4	0.50	5419	agropecuaria+compras_publicas+educacao+saneamento_agua	br_ibge_ppm, br_cgu_emendas_parlamentares, br_inep_saeb, br_ana_outorgas
0.500	4	0.50	5419	agropecuaria+compras_publicas+educacao+saude_producao	br_ibge_ppm, br_cgu_emendas_parlamentares, br_inep_saeb, br_ms_cnes
0.500	4	0.50	5419	agropecuaria+compras_publicas+fundiario+politica	br_ibge_ppm, br_cgu_emendas_parlamentares, br_sfb_sicar, br_tse_eleicoes
0.500	4	0.50	5419	agropecuaria+compras_publicas+mobilidade+mortalidade	br_ibge_ppm, br_cgu_emendas_parlamentares, br_mobilidados_indicadores, br_ms_sim
0.500	4	0.50	5419	agropecuaria+compras_publicas+mobilidade+trabalho_empresa	br_ibge_ppm, br_cgu_emendas_parlamentares, br_mobilidados_indicadores, br_me_cnpj
0.500	4	0.50	5419	agropecuaria+compras_publicas+mortalidade+vigilancia_sinan	br_ibge_ppm, br_cgu_emendas_parlamentares, br_ms_sim, br_ms_sinan_violencia
0.500	4	0.50	5419	agropecuaria+compras_publicas+politica+saneamento_agua	br_ibge_ppm, br_cgu_emendas_parlamentares, br_tse_eleicoes, br_ana_outorgas
0.500	4	0.50	5419	agropecuaria+compras_publicas+politica+saude_producao	br_ibge_ppm, br_cgu_emendas_parlamentares, br_tse_eleicoes, br_ms_cnes
0.500	4	0.50	5419	agropecuaria+compras_publicas+saneamento_agua+vigilancia_sinan	br_ibge_ppm, br_cgu_emendas_parlamentares, br_ana_outorgas, br_ms_sinan_violencia
0.500	4	0.50	5419	agropecuaria+compras_publicas+trabalho_empresa+vigilancia_sinan	br_ibge_ppm, br_cgu_emendas_parlamentares, br_me_cnpj, br_ms_sinan_violencia
0.500	4	0.50	5419	agropecuaria+compras_publicas+transferencia_renda+vigilancia_sinan	br_ibge_ppm, br_cgu_emendas_parlamentares, br_mc_indicadores, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+conectividade+credito_financeiro+mobilidade	br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_bcb_sicor, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+conectividade+desmatamento_clima+mobilidade	br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_inpe_sisam, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+conectividade+educacao+mobilidade	br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_inep_saeb, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+conectividade+fiscal_municipal+mobilidade	br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_rf_arrecadacao, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+conectividade+fiscalizacao_ambiental+mobilidade	br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_ibama_autos, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+conectividade+fundiario+vigilancia_sinan	br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_sfb_sicar, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+conectividade+mobilidade+politica	br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_tse_eleicoes
0.500	4	0.50	5419	compras_publicas+conectividade+mobilidade+saneamento_agua	br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_ana_outorgas
0.500	4	0.50	5419	compras_publicas+conectividade+mobilidade+saude_producao	br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_ms_cnes
0.500	4	0.50	5419	compras_publicas+conectividade+mobilidade+transferencia_renda	br_cgu_emendas_parlamentares, br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_mc_indicadores
0.500	4	0.50	5419	compras_publicas+credito_financeiro+desmatamento_clima+mobilidade	br_cgu_emendas_parlamentares, br_bcb_sicor, br_inpe_sisam, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+credito_financeiro+educacao+mobilidade	br_cgu_emendas_parlamentares, br_bcb_sicor, br_inep_saeb, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+credito_financeiro+fiscal_municipal+mobilidade	br_cgu_emendas_parlamentares, br_bcb_sicor, br_rf_arrecadacao, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+credito_financeiro+fiscalizacao_ambiental+mobilidade	br_cgu_emendas_parlamentares, br_bcb_sicor, br_ibama_autos, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+credito_financeiro+fundiario+mobilidade	br_cgu_emendas_parlamentares, br_bcb_sicor, br_sfb_sicar, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+credito_financeiro+mobilidade+mortalidade	br_cgu_emendas_parlamentares, br_bcb_sicor, br_mobilidados_indicadores, br_ms_sim
0.500	4	0.50	5419	compras_publicas+credito_financeiro+mobilidade+saude_producao	br_cgu_emendas_parlamentares, br_bcb_sicor, br_mobilidados_indicadores, br_ms_cnes
0.500	4	0.50	5419	compras_publicas+credito_financeiro+mobilidade+transferencia_renda	br_cgu_emendas_parlamentares, br_bcb_sicor, br_mobilidados_indicadores, br_mc_indicadores
0.500	4	0.50	5419	compras_publicas+credito_financeiro+politica+saneamento_agua	br_cgu_emendas_parlamentares, br_bcb_sicor, br_tse_eleicoes, br_ana_outorgas
0.500	4	0.50	5419	compras_publicas+credito_financeiro+politica+vigilancia_sinan	br_cgu_emendas_parlamentares, br_bcb_sicor, br_tse_eleicoes, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+demografia_censo+mobilidade+vigilancia_sinan	br_cgu_emendas_parlamentares, br_ibge_censo2022_raca, br_mobilidados_indicadores, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+desmatamento_clima+fiscal_municipal+vigilancia_sinan	br_cgu_emendas_parlamentares, br_inpe_sisam, br_rf_arrecadacao, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+desmatamento_clima+fiscalizacao_ambiental+mobilidade	br_cgu_emendas_parlamentares, br_inpe_sisam, br_ibama_autos, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+desmatamento_clima+fundiario+mobilidade	br_cgu_emendas_parlamentares, br_inpe_sisam, br_sfb_sicar, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+desmatamento_clima+mobilidade+saneamento_agua	br_cgu_emendas_parlamentares, br_inpe_sisam, br_mobilidados_indicadores, br_ana_outorgas
0.500	4	0.50	5419	compras_publicas+desmatamento_clima+mobilidade+saude_producao	br_cgu_emendas_parlamentares, br_inpe_sisam, br_mobilidados_indicadores, br_ms_cnes
0.500	4	0.50	5419	compras_publicas+desmatamento_clima+politica+vigilancia_sinan	br_cgu_emendas_parlamentares, br_inpe_sisam, br_tse_eleicoes, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+educacao+fiscal_municipal+mobilidade	br_cgu_emendas_parlamentares, br_inep_saeb, br_rf_arrecadacao, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+educacao+fiscalizacao_ambiental+saneamento_agua	br_cgu_emendas_parlamentares, br_inep_saeb, br_ibama_autos, br_ana_outorgas
0.500	4	0.50	5419	compras_publicas+educacao+fiscalizacao_ambiental+vigilancia_sinan	br_cgu_emendas_parlamentares, br_inep_saeb, br_ibama_autos, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+educacao+fundiario+saneamento_agua	br_cgu_emendas_parlamentares, br_inep_saeb, br_sfb_sicar, br_ana_outorgas
0.500	4	0.50	5419	compras_publicas+educacao+fundiario+vigilancia_sinan	br_cgu_emendas_parlamentares, br_inep_saeb, br_sfb_sicar, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+educacao+mobilidade+politica	br_cgu_emendas_parlamentares, br_inep_saeb, br_mobilidados_indicadores, br_tse_eleicoes
0.500	4	0.50	5419	compras_publicas+educacao+mobilidade+saude_producao	br_cgu_emendas_parlamentares, br_inep_saeb, br_mobilidados_indicadores, br_ms_cnes
0.500	4	0.50	5419	compras_publicas+educacao+mobilidade+transferencia_renda	br_cgu_emendas_parlamentares, br_inep_saeb, br_mobilidados_indicadores, br_mc_indicadores
0.500	4	0.50	5419	compras_publicas+fiscal_municipal+mobilidade+politica	br_cgu_emendas_parlamentares, br_rf_arrecadacao, br_mobilidados_indicadores, br_tse_eleicoes
0.500	4	0.50	5419	compras_publicas+fiscal_municipal+mobilidade+saneamento_agua	br_cgu_emendas_parlamentares, br_rf_arrecadacao, br_mobilidados_indicadores, br_ana_outorgas
0.500	4	0.50	5419	compras_publicas+fiscal_municipal+mobilidade+saude_producao	br_cgu_emendas_parlamentares, br_rf_arrecadacao, br_mobilidados_indicadores, br_ms_cnes
0.500	4	0.50	5419	compras_publicas+fiscal_municipal+mobilidade+transferencia_renda	br_cgu_emendas_parlamentares, br_rf_arrecadacao, br_mobilidados_indicadores, br_mc_indicadores
0.500	4	0.50	5419	compras_publicas+fiscal_municipal+politica+vigilancia_sinan	br_cgu_emendas_parlamentares, br_rf_arrecadacao, br_tse_eleicoes, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+fiscalizacao_ambiental+fundiario+mobilidade	br_cgu_emendas_parlamentares, br_ibama_autos, br_sfb_sicar, br_mobilidados_indicadores
0.500	4	0.50	5419	compras_publicas+fiscalizacao_ambiental+fundiario+vigilancia_sinan	br_cgu_emendas_parlamentares, br_ibama_autos, br_sfb_sicar, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+fiscalizacao_ambiental+mobilidade+mortalidade	br_cgu_emendas_parlamentares, br_ibama_autos, br_mobilidados_indicadores, br_ms_sim
0.500	4	0.50	5419	compras_publicas+fiscalizacao_ambiental+mobilidade+politica	br_cgu_emendas_parlamentares, br_ibama_autos, br_mobilidados_indicadores, br_tse_eleicoes
0.500	4	0.50	5419	compras_publicas+fiscalizacao_ambiental+mobilidade+saude_producao	br_cgu_emendas_parlamentares, br_ibama_autos, br_mobilidados_indicadores, br_ms_cnes
0.500	4	0.50	5419	compras_publicas+fiscalizacao_ambiental+mobilidade+transferencia_renda	br_cgu_emendas_parlamentares, br_ibama_autos, br_mobilidados_indicadores, br_mc_indicadores
0.500	4	0.50	5419	compras_publicas+fiscalizacao_ambiental+mortalidade+vigilancia_sinan	br_cgu_emendas_parlamentares, br_ibama_autos, br_ms_sim, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+fiscalizacao_ambiental+politica+vigilancia_sinan	br_cgu_emendas_parlamentares, br_ibama_autos, br_tse_eleicoes, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+fiscalizacao_ambiental+saneamento_agua+vigilancia_sinan	br_cgu_emendas_parlamentares, br_ibama_autos, br_ana_outorgas, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+fundiario+mobilidade+mortalidade	br_cgu_emendas_parlamentares, br_sfb_sicar, br_mobilidados_indicadores, br_ms_sim
0.500	4	0.50	5419	compras_publicas+fundiario+mobilidade+saude_producao	br_cgu_emendas_parlamentares, br_sfb_sicar, br_mobilidados_indicadores, br_ms_cnes
0.500	4	0.50	5419	compras_publicas+fundiario+mortalidade+vigilancia_sinan	br_cgu_emendas_parlamentares, br_sfb_sicar, br_ms_sim, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+fundiario+politica+saneamento_agua	br_cgu_emendas_parlamentares, br_sfb_sicar, br_tse_eleicoes, br_ana_outorgas
0.500	4	0.50	5419	compras_publicas+fundiario+saneamento_agua+transferencia_renda	br_cgu_emendas_parlamentares, br_sfb_sicar, br_ana_outorgas, br_mc_indicadores
0.500	4	0.50	5419	compras_publicas+fundiario+saneamento_agua+vigilancia_sinan	br_cgu_emendas_parlamentares, br_sfb_sicar, br_ana_outorgas, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+fundiario+transferencia_renda+vigilancia_sinan	br_cgu_emendas_parlamentares, br_sfb_sicar, br_mc_indicadores, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+mobilidade+mortalidade+vigilancia_sinan	br_cgu_emendas_parlamentares, br_mobilidados_indicadores, br_ms_sim, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+mobilidade+politica+saude_producao	br_cgu_emendas_parlamentares, br_mobilidados_indicadores, br_tse_eleicoes, br_ms_cnes
0.500	4	0.50	5419	compras_publicas+mobilidade+politica+transferencia_renda	br_cgu_emendas_parlamentares, br_mobilidados_indicadores, br_tse_eleicoes, br_mc_indicadores
0.500	4	0.50	5419	compras_publicas+mobilidade+saneamento_agua+saude_producao	br_cgu_emendas_parlamentares, br_mobilidados_indicadores, br_ana_outorgas, br_ms_cnes
0.500	4	0.50	5419	compras_publicas+mobilidade+saude_producao+transferencia_renda	br_cgu_emendas_parlamentares, br_mobilidados_indicadores, br_ms_cnes, br_mc_indicadores
0.500	4	0.50	5419	compras_publicas+mobilidade+trabalho_empresa+vigilancia_sinan	br_cgu_emendas_parlamentares, br_mobilidados_indicadores, br_me_cnpj, br_ms_sinan_violencia
0.500	4	0.50	5419	compras_publicas+politica+saneamento_agua+vigilancia_sinan	br_cgu_emendas_parlamentares, br_tse_eleicoes, br_ana_outorgas, br_ms_sinan_violencia
0.469	4	0.50	4691	agropecuaria+compras_publicas+credito_financeiro+natalidade	br_ibge_ppm, br_cgu_emendas_parlamentares, br_bcb_sicor, br_ms_sinasc
0.469	4	0.50	4691	agropecuaria+compras_publicas+demografia_censo+natalidade	br_ibge_ppm, br_cgu_emendas_parlamentares, br_ibge_censo2022_raca, br_ms_sinasc
0.469	4	0.50	4691	agropecuaria+compras_publicas+desmatamento_clima+natalidade	br_ibge_ppm, br_cgu_emendas_parlamentares, br_inpe_sisam, br_ms_sinasc
0.469	4	0.50	4691	agropecuaria+compras_publicas+educacao+natalidade	br_ibge_ppm, br_cgu_emendas_parlamentares, br_inep_saeb, br_ms_sinasc
0.469	4	0.50	4691	agropecuaria+compras_publicas+fiscalizacao_ambiental+natalidade	br_ibge_ppm, br_cgu_emendas_parlamentares, br_ibama_autos, br_ms_sinasc
0.469	4	0.50	4691	agropecuaria+compras_publicas+fundiario+natalidade	br_ibge_ppm, br_cgu_emendas_parlamentares, br_sfb_sicar, br_ms_sinasc
