n	familias	poder_min_municipios	coberta_por
2	compras_publicas+credito_financeiro	5419	P67-3
2	compras_publicas+demografia_censo	5419	P15-5
2	compras_publicas+desmatamento_clima	5419	H?
2	compras_publicas+educacao	5419	H?
2	compras_publicas+fiscal_municipal	5419	P16-4
2	compras_publicas+fiscalizacao_ambiental	5419	P72-3
2	compras_publicas+fundiario	5419	H?
2	compras_publicas+mobilidade	5419	
2	compras_publicas+mortalidade	5419	P77-2
2	compras_publicas+politica	5419	P05-3
2	compras_publicas+saneamento_agua	5419	P68-4
2	compras_publicas+saude_producao	5419	P77-2
2	compras_publicas+trabalho_empresa	5419	P05-3
2	compras_publicas+transferencia_renda	5419	H?
2	compras_publicas+vigilancia_sinan	5419	
2	agropecuaria+natalidade	4691	
2	compras_publicas+natalidade	4691	H?
2	conectividade+natalidade	4691	
2	credito_financeiro+natalidade	4691	
2	demografia_censo+natalidade	4691	P03-5
2	desmatamento_clima+natalidade	4691	
2	educacao+natalidade	4691	P77-4
2	fiscal_municipal+natalidade	4691	H?
2	fiscalizacao_ambiental+natalidade	4691	
2	fundiario+natalidade	4691	
2	mobilidade+natalidade	4691	
2	mortalidade+natalidade	4691	P03-2
2	natalidade+politica	4691	H?
2	natalidade+saneamento_agua	4691	P80-2
2	natalidade+saude_producao	4691	P03-1
2	natalidade+trabalho_empresa	4691	P03-3
2	natalidade+transferencia_renda	4691	P03-1
2	natalidade+vigilancia_sinan	4691	P23-5
2	agropecuaria+mineracao_energia	3985	
2	compras_publicas+mineracao_energia	3985	P58-3
2	conectividade+mineracao_energia	3985	P61-4
2	credito_financeiro+mineracao_energia	3985	P61-3
2	demografia_censo+mineracao_energia	3985	P51-1
2	desmatamento_clima+mineracao_energia	3985	P59-2
2	educacao+mineracao_energia	3985	H?
2	fiscal_municipal+mineracao_energia	3985	P58-3
2	fiscalizacao_ambiental+mineracao_energia	3985	P59-2
2	fundiario+mineracao_energia	3985	P59-2
2	mineracao_energia+mobilidade	3985	P51-2
2	mineracao_energia+mortalidade	3985	P58-2
2	mineracao_energia+natalidade	3985	H?
2	mineracao_energia+politica	3985	H?
2	mineracao_energia+saneamento_agua	3985	
2	mineracao_energia+saude_producao	3985	H?
2	mineracao_energia+trabalho_empresa	3985	P51-1
2	mineracao_energia+transferencia_renda	3985	P58-1
2	mineracao_energia+vigilancia_sinan	3985	P71-2
2	agropecuaria+sancao_integridade	3314	
2	compras_publicas+sancao_integridade	3314	P37-1
2	conectividade+sancao_integridade	3314	
2	credito_financeiro+sancao_integridade	3314	P45-2
2	demografia_censo+sancao_integridade	3314	P63-1
2	desmatamento_clima+sancao_integridade	3314	P63-2
2	educacao+sancao_integridade	3314	H?
2	fiscal_municipal+sancao_integridade	3314	P37-3
2	fiscalizacao_ambiental+sancao_integridade	3314	P63-2
2	fundiario+sancao_integridade	3314	
2	mineracao_energia+sancao_integridade	3314	P63-2
2	mobilidade+sancao_integridade	3314	
2	mortalidade+sancao_integridade	3314	
2	natalidade+sancao_integridade	3314	
2	politica+sancao_integridade	3314	P74-5
2	sancao_integridade+saneamento_agua	3314	
2	sancao_integridade+saude_producao	3314	
2	sancao_integridade+trabalho_empresa	3314	P37-1
2	sancao_integridade+transferencia_renda	3314	H?
2	sancao_integridade+vigilancia_sinan	3314	
2	agropecuaria+comercio_exterior	2696	P17-3
2	comercio_exterior+compras_publicas	2696	
2	comercio_exterior+conectividade	2696	
2	comercio_exterior+credito_financeiro	2696	
2	comercio_exterior+demografia_censo	2696	P18-5
2	comercio_exterior+desmatamento_clima	2696	P17-3
2	comercio_exterior+educacao	2696	
2	comercio_exterior+fiscal_municipal	2696	
2	comercio_exterior+fiscalizacao_ambiental	2696	
2	comercio_exterior+fundiario	2696	P18-2
2	comercio_exterior+mineracao_energia	2696	
2	comercio_exterior+mobilidade	2696	
2	comercio_exterior+mortalidade	2696	
2	comercio_exterior+natalidade	2696	
2	comercio_exterior+politica	2696	
2	comercio_exterior+sancao_integridade	2696	
2	comercio_exterior+saneamento_agua	2696	
2	comercio_exterior+saude_producao	2696	
2	comercio_exterior+trabalho_empresa	2696	P18-1
2	comercio_exterior+transferencia_renda	2696	P77-1
2	comercio_exterior+vigilancia_sinan	2696	
3	educacao+mortalidade+saneamento_agua	5626	
3	desmatamento_clima+educacao+mortalidade	5572	
3	desmatamento_clima+educacao+saneamento_agua	5572	
3	desmatamento_clima+mortalidade+saneamento_agua	5572	P42-5
3	demografia_censo+desmatamento_clima+educacao	5571	
3	demografia_censo+desmatamento_clima+mortalidade	5571	P22-2
3	demografia_censo+desmatamento_clima+saneamento_agua	5571	
3	demografia_censo+educacao+mortalidade	5571	P28-2
3	demografia_censo+educacao+saneamento_agua	5571	
3	demografia_censo+mortalidade+saneamento_agua	5571	P44-1
3	conectividade+demografia_censo+desmatamento_clima	5570	H?
3	conectividade+demografia_censo+educacao	5570	P32-4
3	conectividade+demografia_censo+fiscal_municipal	5570	
3	conectividade+demografia_censo+mortalidade	5570	H?
3	conectividade+demografia_censo+politica	5570	
3	conectividade+demografia_censo+saneamento_agua	5570	P68-4
3	conectividade+demografia_censo+saude_producao	5570	
3	conectividade+demografia_censo+trabalho_empresa	5570	H?
3	conectividade+demografia_censo+transferencia_renda	5570	
3	conectividade+desmatamento_clima+educacao	5570	
3	conectividade+desmatamento_clima+fiscal_municipal	5570	
3	conectividade+desmatamento_clima+mortalidade	5570	H?
3	conectividade+desmatamento_clima+politica	5570	
3	conectividade+desmatamento_clima+saneamento_agua	5570	
3	conectividade+desmatamento_clima+saude_producao	5570	
3	conectividade+desmatamento_clima+trabalho_empresa	5570	H?
3	conectividade+desmatamento_clima+transferencia_renda	5570	
3	conectividade+educacao+fiscal_municipal	5570	
3	conectividade+educacao+mortalidade	5570	
3	conectividade+educacao+politica	5570	P81-2
3	conectividade+educacao+saneamento_agua	5570	
3	conectividade+educacao+saude_producao	5570	
3	conectividade+educacao+trabalho_empresa	5570	P11-3
3	conectividade+educacao+transferencia_renda	5570	
3	conectividade+fiscal_municipal+mortalidade	5570	
3	conectividade+fiscal_municipal+politica	5570	
3	conectividade+fiscal_municipal+saneamento_agua	5570	P11-1
3	conectividade+fiscal_municipal+saude_producao	5570	
3	conectividade+fiscal_municipal+trabalho_empresa	5570	
3	conectividade+fiscal_municipal+transferencia_renda	5570	
3	conectividade+mortalidade+politica	5570	
3	conectividade+mortalidade+saneamento_agua	5570	
3	conectividade+mortalidade+saude_producao	5570	
3	conectividade+mortalidade+trabalho_empresa	5570	H?
3	conectividade+mortalidade+transferencia_renda	5570	
3	conectividade+politica+saneamento_agua	5570	
3	conectividade+politica+saude_producao	5570	
3	conectividade+politica+trabalho_empresa	5570	
3	conectividade+politica+transferencia_renda	5570	
3	conectividade+saneamento_agua+saude_producao	5570	
3	conectividade+saneamento_agua+trabalho_empresa	5570	
3	conectividade+saneamento_agua+transferencia_renda	5570	
3	conectividade+saude_producao+trabalho_empresa	5570	
3	conectividade+saude_producao+transferencia_renda	5570	
3	conectividade+trabalho_empresa+transferencia_renda	5570	
3	demografia_censo+desmatamento_clima+fiscal_municipal	5570	
3	demografia_censo+desmatamento_clima+politica	5570	
3	demografia_censo+desmatamento_clima+saude_producao	5570	H?
3	demografia_censo+desmatamento_clima+trabalho_empresa	5570	H?
3	demografia_censo+desmatamento_clima+transferencia_renda	5570	
3	demografia_censo+educacao+fiscal_municipal	5570	H?
3	demografia_censo+educacao+politica	5570	P38-5
3	demografia_censo+educacao+saude_producao	5570	
3	demografia_censo+educacao+trabalho_empresa	5570	H?
3	demografia_censo+educacao+transferencia_renda	5570	H?
3	demografia_censo+fiscal_municipal+mortalidade	5570	P08-4
3	demografia_censo+fiscal_municipal+politica	5570	
3	demografia_censo+fiscal_municipal+saneamento_agua	5570	P11-2
3	demografia_censo+fiscal_municipal+saude_producao	5570	
3	demografia_censo+fiscal_municipal+trabalho_empresa	5570	P16-1
3	demografia_censo+fiscal_municipal+transferencia_renda	5570	P08-1
3	demografia_censo+mortalidade+politica	5570	
3	demografia_censo+mortalidade+saude_producao	5570	
3	demografia_censo+mortalidade+trabalho_empresa	5570	P01-1
3	demografia_censo+mortalidade+transferencia_renda	5570	P70-3
3	demografia_censo+politica+saneamento_agua	5570	
3	demografia_censo+politica+saude_producao	5570	
3	demografia_censo+politica+trabalho_empresa	5570	P13-1
3	demografia_censo+politica+transferencia_renda	5570	
3	demografia_censo+saneamento_agua+saude_producao	5570	
3	demografia_censo+saneamento_agua+trabalho_empresa	5570	P79-2
3	demografia_censo+saneamento_agua+transferencia_renda	5570	
3	demografia_censo+saude_producao+trabalho_empresa	5570	P49-5
3	demografia_censo+saude_producao+transferencia_renda	5570	P71-3
3	demografia_censo+trabalho_empresa+transferencia_renda	5570	P31-4
3	desmatamento_clima+educacao+fiscal_municipal	5570	
3	desmatamento_clima+educacao+politica	5570	
3	desmatamento_clima+educacao+saude_producao	5570	
3	desmatamento_clima+educacao+trabalho_empresa	5570	
3	desmatamento_clima+educacao+transferencia_renda	5570	
3	desmatamento_clima+fiscal_municipal+mortalidade	5570	
3	desmatamento_clima+fiscal_municipal+politica	5570	
3	desmatamento_clima+fiscal_municipal+saneamento_agua	5570	
3	desmatamento_clima+fiscal_municipal+saude_producao	5570	
3	desmatamento_clima+fiscal_municipal+trabalho_empresa	5570	
3	desmatamento_clima+fiscal_municipal+transferencia_renda	5570	
3	desmatamento_clima+mortalidade+politica	5570	
3	desmatamento_clima+mortalidade+saude_producao	5570	
3	desmatamento_clima+mortalidade+trabalho_empresa	5570	H?
3	desmatamento_clima+mortalidade+transferencia_renda	5570	
3	desmatamento_clima+politica+saneamento_agua	5570	
3	desmatamento_clima+politica+saude_producao	5570	
3	desmatamento_clima+politica+trabalho_empresa	5570	
3	desmatamento_clima+politica+transferencia_renda	5570	
