n	familias	poder_min_municipios	coberta_por
3	educacao+sancao_integridade+vigilancia_sinan	3314	
3	fiscal_municipal+fiscalizacao_ambiental+sancao_integridade	3314	
3	fiscal_municipal+fundiario+sancao_integridade	3314	
3	fiscal_municipal+mineracao_energia+sancao_integridade	3314	
3	fiscal_municipal+mobilidade+sancao_integridade	3314	
3	fiscal_municipal+mortalidade+sancao_integridade	3314	
3	fiscal_municipal+natalidade+sancao_integridade	3314	
3	fiscal_municipal+politica+sancao_integridade	3314	
3	fiscal_municipal+sancao_integridade+saneamento_agua	3314	
3	fiscal_municipal+sancao_integridade+saude_producao	3314	
3	fiscal_municipal+sancao_integridade+trabalho_empresa	3314	P37-3
3	fiscal_municipal+sancao_integridade+transferencia_renda	3314	
3	fiscal_municipal+sancao_integridade+vigilancia_sinan	3314	
3	fiscalizacao_ambiental+fundiario+sancao_integridade	3314	
3	fiscalizacao_ambiental+mineracao_energia+sancao_integridade	3314	P63-2
3	fiscalizacao_ambiental+mobilidade+sancao_integridade	3314	
3	fiscalizacao_ambiental+mortalidade+sancao_integridade	3314	
3	fiscalizacao_ambiental+natalidade+sancao_integridade	3314	
3	fiscalizacao_ambiental+politica+sancao_integridade	3314	
3	fiscalizacao_ambiental+sancao_integridade+saneamento_agua	3314	
3	fiscalizacao_ambiental+sancao_integridade+saude_producao	3314	
3	fiscalizacao_ambiental+sancao_integridade+trabalho_empresa	3314	
3	fiscalizacao_ambiental+sancao_integridade+transferencia_renda	3314	
3	fiscalizacao_ambiental+sancao_integridade+vigilancia_sinan	3314	
3	fundiario+mineracao_energia+sancao_integridade	3314	
3	fundiario+mobilidade+sancao_integridade	3314	
3	fundiario+mortalidade+sancao_integridade	3314	
3	fundiario+natalidade+sancao_integridade	3314	
3	fundiario+politica+sancao_integridade	3314	
3	fundiario+sancao_integridade+saneamento_agua	3314	
3	fundiario+sancao_integridade+saude_producao	3314	
3	fundiario+sancao_integridade+trabalho_empresa	3314	
3	fundiario+sancao_integridade+transferencia_renda	3314	
3	fundiario+sancao_integridade+vigilancia_sinan	3314	
3	mineracao_energia+mobilidade+sancao_integridade	3314	
3	mineracao_energia+mortalidade+sancao_integridade	3314	
3	mineracao_energia+natalidade+sancao_integridade	3314	
3	mineracao_energia+politica+sancao_integridade	3314	
3	mineracao_energia+sancao_integridade+saneamento_agua	3314	
3	mineracao_energia+sancao_integridade+saude_producao	3314	
3	mineracao_energia+sancao_integridade+trabalho_empresa	3314	
3	mineracao_energia+sancao_integridade+transferencia_renda	3314	
3	mineracao_energia+sancao_integridade+vigilancia_sinan	3314	
3	mobilidade+mortalidade+sancao_integridade	3314	
3	mobilidade+natalidade+sancao_integridade	3314	
3	mobilidade+politica+sancao_integridade	3314	
3	mobilidade+sancao_integridade+saneamento_agua	3314	
3	mobilidade+sancao_integridade+saude_producao	3314	
3	mobilidade+sancao_integridade+trabalho_empresa	3314	
3	mobilidade+sancao_integridade+transferencia_renda	3314	
3	mobilidade+sancao_integridade+vigilancia_sinan	3314	
3	mortalidade+natalidade+sancao_integridade	3314	
3	mortalidade+politica+sancao_integridade	3314	
3	mortalidade+sancao_integridade+saneamento_agua	3314	
3	mortalidade+sancao_integridade+saude_producao	3314	
3	mortalidade+sancao_integridade+trabalho_empresa	3314	
3	mortalidade+sancao_integridade+transferencia_renda	3314	
3	mortalidade+sancao_integridade+vigilancia_sinan	3314	
3	natalidade+politica+sancao_integridade	3314	
3	natalidade+sancao_integridade+saneamento_agua	3314	
3	natalidade+sancao_integridade+saude_producao	3314	
3	natalidade+sancao_integridade+trabalho_empresa	3314	
3	natalidade+sancao_integridade+transferencia_renda	3314	
3	natalidade+sancao_integridade+vigilancia_sinan	3314	
3	politica+sancao_integridade+saneamento_agua	3314	
3	politica+sancao_integridade+saude_producao	3314	
3	politica+sancao_integridade+trabalho_empresa	3314	
3	politica+sancao_integridade+transferencia_renda	3314	
3	politica+sancao_integridade+vigilancia_sinan	3314	
3	sancao_integridade+saneamento_agua+saude_producao	3314	
3	sancao_integridade+saneamento_agua+trabalho_empresa	3314	
3	sancao_integridade+saneamento_agua+transferencia_renda	3314	
3	sancao_integridade+saneamento_agua+vigilancia_sinan	3314	
3	sancao_integridade+saude_producao+trabalho_empresa	3314	
3	sancao_integridade+saude_producao+transferencia_renda	3314	
3	sancao_integridade+saude_producao+vigilancia_sinan	3314	
3	sancao_integridade+trabalho_empresa+transferencia_renda	3314	H?
3	sancao_integridade+trabalho_empresa+vigilancia_sinan	3314	
3	sancao_integridade+transferencia_renda+vigilancia_sinan	3314	
3	agropecuaria+comercio_exterior+compras_publicas	2696	
3	agropecuaria+comercio_exterior+conectividade	2696	
3	agropecuaria+comercio_exterior+credito_financeiro	2696	
3	agropecuaria+comercio_exterior+demografia_censo	2696	
3	agropecuaria+comercio_exterior+desmatamento_clima	2696	P17-3
3	agropecuaria+comercio_exterior+educacao	2696	
3	agropecuaria+comercio_exterior+fiscal_municipal	2696	
3	agropecuaria+comercio_exterior+fiscalizacao_ambiental	2696	
3	agropecuaria+comercio_exterior+fundiario	2696	P18-4
3	agropecuaria+comercio_exterior+mineracao_energia	2696	
3	agropecuaria+comercio_exterior+mobilidade	2696	
3	agropecuaria+comercio_exterior+mortalidade	2696	
3	agropecuaria+comercio_exterior+natalidade	2696	
3	agropecuaria+comercio_exterior+politica	2696	
3	agropecuaria+comercio_exterior+sancao_integridade	2696	
3	agropecuaria+comercio_exterior+saneamento_agua	2696	
3	agropecuaria+comercio_exterior+saude_producao	2696	
3	agropecuaria+comercio_exterior+trabalho_empresa	2696	
3	agropecuaria+comercio_exterior+transferencia_renda	2696	
3	agropecuaria+comercio_exterior+vigilancia_sinan	2696	
3	comercio_exterior+compras_publicas+conectividade	2696	
3	comercio_exterior+compras_publicas+credito_financeiro	2696	
3	comercio_exterior+compras_publicas+demografia_censo	2696	
3	comercio_exterior+compras_publicas+desmatamento_clima	2696	
3	comercio_exterior+compras_publicas+educacao	2696	
3	comercio_exterior+compras_publicas+fiscal_municipal	2696	
3	comercio_exterior+compras_publicas+fiscalizacao_ambiental	2696	
3	comercio_exterior+compras_publicas+fundiario	2696	
3	comercio_exterior+compras_publicas+mineracao_energia	2696	
3	comercio_exterior+compras_publicas+mobilidade	2696	
3	comercio_exterior+compras_publicas+mortalidade	2696	
3	comercio_exterior+compras_publicas+natalidade	2696	
3	comercio_exterior+compras_publicas+politica	2696	
3	comercio_exterior+compras_publicas+sancao_integridade	2696	
3	comercio_exterior+compras_publicas+saneamento_agua	2696	
3	comercio_exterior+compras_publicas+saude_producao	2696	
3	comercio_exterior+compras_publicas+trabalho_empresa	2696	
3	comercio_exterior+compras_publicas+transferencia_renda	2696	
3	comercio_exterior+compras_publicas+vigilancia_sinan	2696	
3	comercio_exterior+conectividade+credito_financeiro	2696	
3	comercio_exterior+conectividade+demografia_censo	2696	
3	comercio_exterior+conectividade+desmatamento_clima	2696	
3	comercio_exterior+conectividade+educacao	2696	
3	comercio_exterior+conectividade+fiscal_municipal	2696	
3	comercio_exterior+conectividade+fiscalizacao_ambiental	2696	
3	comercio_exterior+conectividade+fundiario	2696	
3	comercio_exterior+conectividade+mineracao_energia	2696	
3	comercio_exterior+conectividade+mobilidade	2696	
3	comercio_exterior+conectividade+mortalidade	2696	
3	comercio_exterior+conectividade+natalidade	2696	
3	comercio_exterior+conectividade+politica	2696	
3	comercio_exterior+conectividade+sancao_integridade	2696	
3	comercio_exterior+conectividade+saneamento_agua	2696	
3	comercio_exterior+conectividade+saude_producao	2696	
3	comercio_exterior+conectividade+trabalho_empresa	2696	
3	comercio_exterior+conectividade+transferencia_renda	2696	
3	comercio_exterior+conectividade+vigilancia_sinan	2696	
3	comercio_exterior+credito_financeiro+demografia_censo	2696	
3	comercio_exterior+credito_financeiro+desmatamento_clima	2696	
3	comercio_exterior+credito_financeiro+educacao	2696	
3	comercio_exterior+credito_financeiro+fiscal_municipal	2696	
3	comercio_exterior+credito_financeiro+fiscalizacao_ambiental	2696	
3	comercio_exterior+credito_financeiro+fundiario	2696	
3	comercio_exterior+credito_financeiro+mineracao_energia	2696	
3	comercio_exterior+credito_financeiro+mobilidade	2696	
3	comercio_exterior+credito_financeiro+mortalidade	2696	
3	comercio_exterior+credito_financeiro+natalidade	2696	
3	comercio_exterior+credito_financeiro+politica	2696	
3	comercio_exterior+credito_financeiro+sancao_integridade	2696	
3	comercio_exterior+credito_financeiro+saneamento_agua	2696	
3	comercio_exterior+credito_financeiro+saude_producao	2696	
3	comercio_exterior+credito_financeiro+trabalho_empresa	2696	
3	comercio_exterior+credito_financeiro+transferencia_renda	2696	
3	comercio_exterior+credito_financeiro+vigilancia_sinan	2696	
3	comercio_exterior+demografia_censo+desmatamento_clima	2696	
3	comercio_exterior+demografia_censo+educacao	2696	
3	comercio_exterior+demografia_censo+fiscal_municipal	2696	
3	comercio_exterior+demografia_censo+fiscalizacao_ambiental	2696	
3	comercio_exterior+demografia_censo+fundiario	2696	
3	comercio_exterior+demografia_censo+mineracao_energia	2696	
3	comercio_exterior+demografia_censo+mobilidade	2696	
3	comercio_exterior+demografia_censo+mortalidade	2696	
3	comercio_exterior+demografia_censo+natalidade	2696	
3	comercio_exterior+demografia_censo+politica	2696	
3	comercio_exterior+demografia_censo+sancao_integridade	2696	
3	comercio_exterior+demografia_censo+saneamento_agua	2696	
3	comercio_exterior+demografia_censo+saude_producao	2696	
3	comercio_exterior+demografia_censo+trabalho_empresa	2696	P18-5
3	comercio_exterior+demografia_censo+transferencia_renda	2696	
3	comercio_exterior+demografia_censo+vigilancia_sinan	2696	
3	comercio_exterior+desmatamento_clima+educacao	2696	
3	comercio_exterior+desmatamento_clima+fiscal_municipal	2696	
3	comercio_exterior+desmatamento_clima+fiscalizacao_ambiental	2696	
3	comercio_exterior+desmatamento_clima+fundiario	2696	
3	comercio_exterior+desmatamento_clima+mineracao_energia	2696	
3	comercio_exterior+desmatamento_clima+mobilidade	2696	
3	comercio_exterior+desmatamento_clima+mortalidade	2696	
3	comercio_exterior+desmatamento_clima+natalidade	2696	
3	comercio_exterior+desmatamento_clima+politica	2696	
3	comercio_exterior+desmatamento_clima+sancao_integridade	2696	
3	comercio_exterior+desmatamento_clima+saneamento_agua	2696	
3	comercio_exterior+desmatamento_clima+saude_producao	2696	
3	comercio_exterior+desmatamento_clima+trabalho_empresa	2696	
3	comercio_exterior+desmatamento_clima+transferencia_renda	2696	
3	comercio_exterior+desmatamento_clima+vigilancia_sinan	2696	
3	comercio_exterior+educacao+fiscal_municipal	2696	
3	comercio_exterior+educacao+fiscalizacao_ambiental	2696	
3	comercio_exterior+educacao+fundiario	2696	
3	comercio_exterior+educacao+mineracao_energia	2696	
3	comercio_exterior+educacao+mobilidade	2696	
3	comercio_exterior+educacao+mortalidade	2696	
3	comercio_exterior+educacao+natalidade	2696	
3	comercio_exterior+educacao+politica	2696	
3	comercio_exterior+educacao+sancao_integridade	2696	
3	comercio_exterior+educacao+saneamento_agua	2696	
3	comercio_exterior+educacao+saude_producao	2696	
3	comercio_exterior+educacao+trabalho_empresa	2696	
3	comercio_exterior+educacao+transferencia_renda	2696	
3	comercio_exterior+educacao+vigilancia_sinan	2696	
3	comercio_exterior+fiscal_municipal+fiscalizacao_ambiental	2696	
3	comercio_exterior+fiscal_municipal+fundiario	2696	
3	comercio_exterior+fiscal_municipal+mineracao_energia	2696	
3	comercio_exterior+fiscal_municipal+mobilidade	2696	
3	comercio_exterior+fiscal_municipal+mortalidade	2696	
3	comercio_exterior+fiscal_municipal+natalidade	2696	
3	comercio_exterior+fiscal_municipal+politica	2696	
3	comercio_exterior+fiscal_municipal+sancao_integridade	2696	
3	comercio_exterior+fiscal_municipal+saneamento_agua	2696	
3	comercio_exterior+fiscal_municipal+saude_producao	2696	
3	comercio_exterior+fiscal_municipal+trabalho_empresa	2696	
3	comercio_exterior+fiscal_municipal+transferencia_renda	2696	
3	comercio_exterior+fiscal_municipal+vigilancia_sinan	2696	
3	comercio_exterior+fiscalizacao_ambiental+fundiario	2696	
3	comercio_exterior+fiscalizacao_ambiental+mineracao_energia	2696	
3	comercio_exterior+fiscalizacao_ambiental+mobilidade	2696	
3	comercio_exterior+fiscalizacao_ambiental+mortalidade	2696	
3	comercio_exterior+fiscalizacao_ambiental+natalidade	2696	
3	comercio_exterior+fiscalizacao_ambiental+politica	2696	
3	comercio_exterior+fiscalizacao_ambiental+sancao_integridade	2696	
3	comercio_exterior+fiscalizacao_ambiental+saneamento_agua	2696	
3	comercio_exterior+fiscalizacao_ambiental+saude_producao	2696	
3	comercio_exterior+fiscalizacao_ambiental+trabalho_empresa	2696	
3	comercio_exterior+fiscalizacao_ambiental+transferencia_renda	2696	
3	comercio_exterior+fiscalizacao_ambiental+vigilancia_sinan	2696	
3	comercio_exterior+fundiario+mineracao_energia	2696	
3	comercio_exterior+fundiario+mobilidade	2696	
3	comercio_exterior+fundiario+mortalidade	2696	
3	comercio_exterior+fundiario+natalidade	2696	
3	comercio_exterior+fundiario+politica	2696	
3	comercio_exterior+fundiario+sancao_integridade	2696	
3	comercio_exterior+fundiario+saneamento_agua	2696	
3	comercio_exterior+fundiario+saude_producao	2696	
3	comercio_exterior+fundiario+trabalho_empresa	2696	P18-2
3	comercio_exterior+fundiario+transferencia_renda	2696	
3	comercio_exterior+fundiario+vigilancia_sinan	2696	
3	comercio_exterior+mineracao_energia+mobilidade	2696	
3	comercio_exterior+mineracao_energia+mortalidade	2696	
3	comercio_exterior+mineracao_energia+natalidade	2696	
3	comercio_exterior+mineracao_energia+politica	2696	
3	comercio_exterior+mineracao_energia+sancao_integridade	2696	
3	comercio_exterior+mineracao_energia+saneamento_agua	2696	
3	comercio_exterior+mineracao_energia+saude_producao	2696	
3	comercio_exterior+mineracao_energia+trabalho_empresa	2696	
3	comercio_exterior+mineracao_energia+transferencia_renda	2696	
3	comercio_exterior+mineracao_energia+vigilancia_sinan	2696	
3	comercio_exterior+mobilidade+mortalidade	2696	
3	comercio_exterior+mobilidade+natalidade	2696	
3	comercio_exterior+mobilidade+politica	2696	
3	comercio_exterior+mobilidade+sancao_integridade	2696	
3	comercio_exterior+mobilidade+saneamento_agua	2696	
3	comercio_exterior+mobilidade+saude_producao	2696	
3	comercio_exterior+mobilidade+trabalho_empresa	2696	
3	comercio_exterior+mobilidade+transferencia_renda	2696	
3	comercio_exterior+mobilidade+vigilancia_sinan	2696	
3	comercio_exterior+mortalidade+natalidade	2696	
3	comercio_exterior+mortalidade+politica	2696	
3	comercio_exterior+mortalidade+sancao_integridade	2696	
3	comercio_exterior+mortalidade+saneamento_agua	2696	
3	comercio_exterior+mortalidade+saude_producao	2696	
3	comercio_exterior+mortalidade+trabalho_empresa	2696	
3	comercio_exterior+mortalidade+transferencia_renda	2696	
3	comercio_exterior+mortalidade+vigilancia_sinan	2696	
3	comercio_exterior+natalidade+politica	2696	
3	comercio_exterior+natalidade+sancao_integridade	2696	
3	comercio_exterior+natalidade+saneamento_agua	2696	
3	comercio_exterior+natalidade+saude_producao	2696	
3	comercio_exterior+natalidade+trabalho_empresa	2696	
3	comercio_exterior+natalidade+transferencia_renda	2696	
3	comercio_exterior+natalidade+vigilancia_sinan	2696	
3	comercio_exterior+politica+sancao_integridade	2696	
3	comercio_exterior+politica+saneamento_agua	2696	
3	comercio_exterior+politica+saude_producao	2696	
3	comercio_exterior+politica+trabalho_empresa	2696	
3	comercio_exterior+politica+transferencia_renda	2696	
3	comercio_exterior+politica+vigilancia_sinan	2696	
3	comercio_exterior+sancao_integridade+saneamento_agua	2696	
3	comercio_exterior+sancao_integridade+saude_producao	2696	
3	comercio_exterior+sancao_integridade+trabalho_empresa	2696	
3	comercio_exterior+sancao_integridade+transferencia_renda	2696	
3	comercio_exterior+sancao_integridade+vigilancia_sinan	2696	
3	comercio_exterior+saneamento_agua+saude_producao	2696	
3	comercio_exterior+saneamento_agua+trabalho_empresa	2696	
3	comercio_exterior+saneamento_agua+transferencia_renda	2696	
3	comercio_exterior+saneamento_agua+vigilancia_sinan	2696	
3	comercio_exterior+saude_producao+trabalho_empresa	2696	
3	comercio_exterior+saude_producao+transferencia_renda	2696	
3	comercio_exterior+saude_producao+vigilancia_sinan	2696	
3	comercio_exterior+trabalho_empresa+transferencia_renda	2696	P77-1
3	comercio_exterior+trabalho_empresa+vigilancia_sinan	2696	
3	comercio_exterior+transferencia_renda+vigilancia_sinan	2696	
4	desmatamento_clima+educacao+mortalidade+saneamento_agua	5572	
4	demografia_censo+desmatamento_clima+educacao+mortalidade	5571	
4	demografia_censo+desmatamento_clima+educacao+saneamento_agua	5571	
4	demografia_censo+desmatamento_clima+mortalidade+saneamento_agua	5571	
4	demografia_censo+educacao+mortalidade+saneamento_agua	5571	
4	conectividade+demografia_censo+desmatamento_clima+educacao	5570	
4	conectividade+demografia_censo+desmatamento_clima+fiscal_municipal	5570	
4	conectividade+demografia_censo+desmatamento_clima+mortalidade	5570	H?
4	conectividade+demografia_censo+desmatamento_clima+politica	5570	
4	conectividade+demografia_censo+desmatamento_clima+saneamento_agua	5570	
4	conectividade+demografia_censo+desmatamento_clima+saude_producao	5570	
4	conectividade+demografia_censo+desmatamento_clima+trabalho_empresa	5570	H?
4	conectividade+demografia_censo+desmatamento_clima+transferencia_renda	5570	
4	conectividade+demografia_censo+educacao+fiscal_municipal	5570	
4	conectividade+demografia_censo+educacao+mortalidade	5570	
4	conectividade+demografia_censo+educacao+politica	5570	
4	conectividade+demografia_censo+educacao+saneamento_agua	5570	
4	conectividade+demografia_censo+educacao+saude_producao	5570	
4	conectividade+demografia_censo+educacao+trabalho_empresa	5570	
4	conectividade+demografia_censo+educacao+transferencia_renda	5570	
4	conectividade+demografia_censo+fiscal_municipal+mortalidade	5570	
4	conectividade+demografia_censo+fiscal_municipal+politica	5570	
4	conectividade+demografia_censo+fiscal_municipal+saneamento_agua	5570	
4	conectividade+demografia_censo+fiscal_municipal+saude_producao	5570	
4	conectividade+demografia_censo+fiscal_municipal+trabalho_empresa	5570	
4	conectividade+demografia_censo+fiscal_municipal+transferencia_renda	5570	
4	conectividade+demografia_censo+mortalidade+politica	5570	
4	conectividade+demografia_censo+mortalidade+saneamento_agua	5570	
4	conectividade+demografia_censo+mortalidade+saude_producao	5570	
4	conectividade+demografia_censo+mortalidade+trabalho_empresa	5570	H?
4	conectividade+demografia_censo+mortalidade+transferencia_renda	5570	
4	conectividade+demografia_censo+politica+saneamento_agua	5570	
4	conectividade+demografia_censo+politica+saude_producao	5570	
4	conectividade+demografia_censo+politica+trabalho_empresa	5570	
4	conectividade+demografia_censo+politica+transferencia_renda	5570	
4	conectividade+demografia_censo+saneamento_agua+saude_producao	5570	
4	conectividade+demografia_censo+saneamento_agua+trabalho_empresa	5570	
4	conectividade+demografia_censo+saneamento_agua+transferencia_renda	5570	
4	conectividade+demografia_censo+saude_producao+trabalho_empresa	5570	
4	conectividade+demografia_censo+saude_producao+transferencia_renda	5570	
4	conectividade+demografia_censo+trabalho_empresa+transferencia_renda	5570	
4	conectividade+desmatamento_clima+educacao+fiscal_municipal	5570	
4	conectividade+desmatamento_clima+educacao+mortalidade	5570	
4	conectividade+desmatamento_clima+educacao+politica	5570	
4	conectividade+desmatamento_clima+educacao+saneamento_agua	5570	
4	conectividade+desmatamento_clima+educacao+saude_producao	5570	
4	conectividade+desmatamento_clima+educacao+trabalho_empresa	5570	
4	conectividade+desmatamento_clima+educacao+transferencia_renda	5570	
4	conectividade+desmatamento_clima+fiscal_municipal+mortalidade	5570	
4	conectividade+desmatamento_clima+fiscal_municipal+politica	5570	
4	conectividade+desmatamento_clima+fiscal_municipal+saneamento_agua	5570	
4	conectividade+desmatamento_clima+fiscal_municipal+saude_producao	5570	
4	conectividade+desmatamento_clima+fiscal_municipal+trabalho_empresa	5570	
4	conectividade+desmatamento_clima+fiscal_municipal+transferencia_renda	5570	
4	conectividade+desmatamento_clima+mortalidade+politica	5570	
4	conectividade+desmatamento_clima+mortalidade+saneamento_agua	5570	
4	conectividade+desmatamento_clima+mortalidade+saude_producao	5570	
4	conectividade+desmatamento_clima+mortalidade+trabalho_empresa	5570	H?
4	conectividade+desmatamento_clima+mortalidade+transferencia_renda	5570	
4	conectividade+desmatamento_clima+politica+saneamento_agua	5570	
4	conectividade+desmatamento_clima+politica+saude_producao	5570	
4	conectividade+desmatamento_clima+politica+trabalho_empresa	5570	
4	conectividade+desmatamento_clima+politica+transferencia_renda	5570	
4	conectividade+desmatamento_clima+saneamento_agua+saude_producao	5570	
4	conectividade+desmatamento_clima+saneamento_agua+trabalho_empresa	5570	
4	conectividade+desmatamento_clima+saneamento_agua+transferencia_renda	5570	
4	conectividade+desmatamento_clima+saude_producao+trabalho_empresa	5570	
4	conectividade+desmatamento_clima+saude_producao+transferencia_renda	5570	
4	conectividade+desmatamento_clima+trabalho_empresa+transferencia_renda	5570	
4	conectividade+educacao+fiscal_municipal+mortalidade	5570	
4	conectividade+educacao+fiscal_municipal+politica	5570	
4	conectividade+educacao+fiscal_municipal+saneamento_agua	5570	
4	conectividade+educacao+fiscal_municipal+saude_producao	5570	
4	conectividade+educacao+fiscal_municipal+trabalho_empresa	5570	
4	conectividade+educacao+fiscal_municipal+transferencia_renda	5570	
4	conectividade+educacao+mortalidade+politica	5570	
4	conectividade+educacao+mortalidade+saneamento_agua	5570	
4	conectividade+educacao+mortalidade+saude_producao	5570	
4	conectividade+educacao+mortalidade+trabalho_empresa	5570	
4	conectividade+educacao+mortalidade+transferencia_renda	5570	
4	conectividade+educacao+politica+saneamento_agua	5570	
4	conectividade+educacao+politica+saude_producao	5570	
4	conectividade+educacao+politica+trabalho_empresa	5570	
4	conectividade+educacao+politica+transferencia_renda	5570	
4	conectividade+educacao+saneamento_agua+saude_producao	5570	
4	conectividade+educacao+saneamento_agua+trabalho_empresa	5570	
4	conectividade+educacao+saneamento_agua+transferencia_renda	5570	
4	conectividade+educacao+saude_producao+trabalho_empresa	5570	
4	conectividade+educacao+saude_producao+transferencia_renda	5570	
4	conectividade+educacao+trabalho_empresa+transferencia_renda	5570	
4	conectividade+fiscal_municipal+mortalidade+politica	5570	
4	conectividade+fiscal_municipal+mortalidade+saneamento_agua	5570	
4	conectividade+fiscal_municipal+mortalidade+saude_producao	5570	
4	conectividade+fiscal_municipal+mortalidade+trabalho_empresa	5570	
4	conectividade+fiscal_municipal+mortalidade+transferencia_renda	5570	
4	conectividade+fiscal_municipal+politica+saneamento_agua	5570	
4	conectividade+fiscal_municipal+politica+saude_producao	5570	
4	conectividade+fiscal_municipal+politica+trabalho_empresa	5570	
4	conectividade+fiscal_municipal+politica+transferencia_renda	5570	
4	conectividade+fiscal_municipal+saneamento_agua+saude_producao	5570	
4	conectividade+fiscal_municipal+saneamento_agua+trabalho_empresa	5570	
4	conectividade+fiscal_municipal+saneamento_agua+transferencia_renda	5570	
4	conectividade+fiscal_municipal+saude_producao+trabalho_empresa	5570	
4	conectividade+fiscal_municipal+saude_producao+transferencia_renda	5570	
4	conectividade+fiscal_municipal+trabalho_empresa+transferencia_renda	5570	
4	conectividade+mortalidade+politica+saneamento_agua	5570	
4	conectividade+mortalidade+politica+saude_producao	5570	
4	conectividade+mortalidade+politica+trabalho_empresa	5570	
4	conectividade+mortalidade+politica+transferencia_renda	5570	
4	conectividade+mortalidade+saneamento_agua+saude_producao	5570	
4	conectividade+mortalidade+saneamento_agua+trabalho_empresa	5570	
4	conectividade+mortalidade+saneamento_agua+transferencia_renda	5570	
4	conectividade+mortalidade+saude_producao+trabalho_empresa	5570	
4	conectividade+mortalidade+saude_producao+transferencia_renda	5570	
4	conectividade+mortalidade+trabalho_empresa+transferencia_renda	5570	
4	conectividade+politica+saneamento_agua+saude_producao	5570	
4	conectividade+politica+saneamento_agua+trabalho_empresa	5570	
4	conectividade+politica+saneamento_agua+transferencia_renda	5570	
4	conectividade+politica+saude_producao+trabalho_empresa	5570	
4	conectividade+politica+saude_producao+transferencia_renda	5570	
4	conectividade+politica+trabalho_empresa+transferencia_renda	5570	
4	conectividade+saneamento_agua+saude_producao+trabalho_empresa	5570	
4	conectividade+saneamento_agua+saude_producao+transferencia_renda	5570	
4	conectividade+saneamento_agua+trabalho_empresa+transferencia_renda	5570	
4	conectividade+saude_producao+trabalho_empresa+transferencia_renda	5570	
4	demografia_censo+desmatamento_clima+educacao+fiscal_municipal	5570	
4	demografia_censo+desmatamento_clima+educacao+politica	5570	
4	demografia_censo+desmatamento_clima+educacao+saude_producao	5570	
4	demografia_censo+desmatamento_clima+educacao+trabalho_empresa	5570	
4	demografia_censo+desmatamento_clima+educacao+transferencia_renda	5570	
4	demografia_censo+desmatamento_clima+fiscal_municipal+mortalidade	5570	
4	demografia_censo+desmatamento_clima+fiscal_municipal+politica	5570	
4	demografia_censo+desmatamento_clima+fiscal_municipal+saneamento_agua	5570	
4	demografia_censo+desmatamento_clima+fiscal_municipal+saude_producao	5570	
4	demografia_censo+desmatamento_clima+fiscal_municipal+trabalho_empresa	5570	
4	demografia_censo+desmatamento_clima+fiscal_municipal+transferencia_renda	5570	
4	demografia_censo+desmatamento_clima+mortalidade+politica	5570	
4	demografia_censo+desmatamento_clima+mortalidade+saude_producao	5570	
4	demografia_censo+desmatamento_clima+mortalidade+trabalho_empresa	5570	H?
4	demografia_censo+desmatamento_clima+mortalidade+transferencia_renda	5570	
4	demografia_censo+desmatamento_clima+politica+saneamento_agua	5570	
4	demografia_censo+desmatamento_clima+politica+saude_producao	5570	
4	demografia_censo+desmatamento_clima+politica+trabalho_empresa	5570	
4	demografia_censo+desmatamento_clima+politica+transferencia_renda	5570	
4	demografia_censo+desmatamento_clima+saneamento_agua+saude_producao	5570	
4	demografia_censo+desmatamento_clima+saneamento_agua+trabalho_empresa	5570	
4	demografia_censo+desmatamento_clima+saneamento_agua+transferencia_renda	5570	
4	demografia_censo+desmatamento_clima+saude_producao+trabalho_empresa	5570	
4	demografia_censo+desmatamento_clima+saude_producao+transferencia_renda	5570	
4	demografia_censo+desmatamento_clima+trabalho_empresa+transferencia_renda	5570	
4	demografia_censo+educacao+fiscal_municipal+mortalidade	5570	
4	demografia_censo+educacao+fiscal_municipal+politica	5570	
4	demografia_censo+educacao+fiscal_municipal+saneamento_agua	5570	
4	demografia_censo+educacao+fiscal_municipal+saude_producao	5570	
4	demografia_censo+educacao+fiscal_municipal+trabalho_empresa	5570	
4	demografia_censo+educacao+fiscal_municipal+transferencia_renda	5570	
4	demografia_censo+educacao+mortalidade+politica	5570	
4	demografia_censo+educacao+mortalidade+saude_producao	5570	
4	demografia_censo+educacao+mortalidade+trabalho_empresa	5570	
4	demografia_censo+educacao+mortalidade+transferencia_renda	5570	
4	demografia_censo+educacao+politica+saneamento_agua	5570	
4	demografia_censo+educacao+politica+saude_producao	5570	
4	demografia_censo+educacao+politica+trabalho_empresa	5570	
4	demografia_censo+educacao+politica+transferencia_renda	5570	
4	demografia_censo+educacao+saneamento_agua+saude_producao	5570	
4	demografia_censo+educacao+saneamento_agua+trabalho_empresa	5570	
4	demografia_censo+educacao+saneamento_agua+transferencia_renda	5570	
4	demografia_censo+educacao+saude_producao+trabalho_empresa	5570	
4	demografia_censo+educacao+saude_producao+transferencia_renda	5570	
4	demografia_censo+educacao+trabalho_empresa+transferencia_renda	5570	H?
4	demografia_censo+fiscal_municipal+mortalidade+politica	5570	
4	demografia_censo+fiscal_municipal+mortalidade+saneamento_agua	5570	
4	demografia_censo+fiscal_municipal+mortalidade+saude_producao	5570	
4	demografia_censo+fiscal_municipal+mortalidade+trabalho_empresa	5570	
4	demografia_censo+fiscal_municipal+mortalidade+transferencia_renda	5570	
4	demografia_censo+fiscal_municipal+politica+saneamento_agua	5570	
